Alabama,0.77%
Alaska,4.58%
Arizona,6.00%
Arkansas,1.07%
California,1.91%
Colorado,2.61%
Connecticut,0.45%
Delaware,0.58%
District of Columbia,0.45%
Florida,0.75%
Georgia,0.82%
Hawaii,5.30%
Idaho,25.86%
Illinois,0.45%
Indiana,0.68%
Iowa,0.90%
Kansas,1.32%
Kentucky,0.80%
Louisiana,0.64%
Maine,0.82%
Maryland,0.72%
Massachusetts,0.41%
Michigan,0.45%
Minnesota,0.59%
Mississippi,0.73%
Missouri,1.18%
Montana,4.73%
Nebraska,1.30%
Nevada,6.00%
New Hampshire,0.65%
New Jersey,0.38%
New Mexico,3.31%
New York,0.43%
North Carolina,0.85%
North Dakota,1.52%
Ohio,0.54%
Oklahoma,1.24%
Oregon,3.64%
Pennsylvania,0.41%
Rhode Island,0.40%
South Carolina,0.80%
South Dakota,1.20%
Tennessee,0.77%
Texas,1.25%
Utah,66.32%
Vermont,0.74%
Virginia,1.13%
Washington,3.80%
West Virginia,0.96%
Wisconsin,0.47%
Wyoming,11.70%